trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,tilt,participant,session,date,expName,psychopyVersion,frameRate,
65,0,65,0,215.81414899998344,216.79842879995704,216.8117904998362,up,0,1.0510706999339163,2,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
66,0,66,0,217.88015350000933,218.86378040001728,218.8779279999435,up,0,2.6667538001202047,-4,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
67,0,67,0,221.5640419998672,222.54722539987415,222.56117649981752,up,0,7.478910899953917,-5,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
68,0,68,0,230.04724659980275,231.03078859997913,231.04481979995035,down,1,0.837078999960795,4,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
69,0,69,0,231.89766319980845,232.88036810001358,232.89457999984734,up,1,0.538864400004968,0,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
70,0,70,0,233.4469899998512,234.4306770998519,234.4445685998071,up,1,0.7619244998786598,0,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
71,0,71,0,235.21419319999404,236.19769729999825,236.21125109982677,down,1,0.8134174000006169,-4,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
72,0,72,0,237.0305200999137,238.02784179989249,238.02784179989249,down,1,0.985425699967891,3,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
73,0,73,0,239.04729579994455,240.04479439998977,240.04479439998977,up,1,0.6341833998449147,0,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
74,0,74,0,240.71406379994005,241.69713839981705,241.71168969990686,up,1,0.8056141999550164,0,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
75,0,75,0,242.5307531999424,243.51380799990147,243.52806459995918,up,1,0.6185765999834985,0,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
76,0,76,0,244.16389989992604,245.14743639994413,245.16138949990273,up,0,0.818498200038448,-2,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
77,0,77,0,245.9973772999365,246.98069709981792,246.99437380000018,down,1,0.7392339999787509,3,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
78,0,78,0,247.74708059988916,248.73055989993736,248.74468000000343,up,0,0.585199800087139,1,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
79,0,79,0,249.34721809998155,250.3307786998339,250.34514049999416,up,1,0.647554999915883,0,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
80,0,80,0,250.99703949992545,251.9945574000012,251.9945574000012,up,0,0.5044249000493437,-3,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
81,0,81,0,252.53059909981675,253.51411869982257,253.52806909987703,up,1,0.8819340001791716,0,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
82,0,82,0,254.43069459986873,255.41408559982665,255.42825110000558,up,1,0.5071121999062598,0,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
83,0,83,0,255.94748879992403,256.9306671000086,256.9447302999906,up,0,0.5933060999959707,-2,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
84,0,84,0,257.5464955000207,258.5449411999434,258.5449411999434,up,0,0.4412108000833541,1,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
85,0,85,0,259.0139248999767,259.99751289980486,260.0112707000226,up,1,0.46199449989944696,0,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
86,0,86,0,260.48090510000475,261.46426499984227,261.47810069983825,up,0,0.30218490003608167,2,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
87,0,87,0,261.79703679983504,262.7808552000206,262.7948721998837,down,1,0.7271306999027729,4,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
88,0,88,0,263.5308721999172,264.52839789981954,264.52839789981954,up,0,0.6907059999648482,-3,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
89,0,89,0,265.24756619986147,266.2448983998038,266.2448983998038,up,1,0.9300726000219584,0,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
90,0,90,0,267.19760810001753,268.18056359980255,268.1948301999364,down,1,1.0798143001738936,4,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
91,0,91,0,269.2804543999955,270.2782502998598,270.2782502998598,up,0,0.575427999952808,-3,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
92,0,92,0,270.88085930002853,271.86455139983445,271.8781763999723,up,1,0.7193850001785904,0,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
93,0,93,0,272.61413509980775,273.59754349989817,273.6116930998396,up,0,0.6535927001386881,4,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
94,0,94,0,274.28064809995703,275.26434469991364,275.2781977998093,up,1,0.9244337000418454,0,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
95,0,95,0,276.2143635000102,277.2115580998361,277.2115580998361,down,1,0.7678563999943435,-5,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
96,0,96,0,278.01416459982283,278.99750359985046,279.0118578998372,up,0,0.6235700999386609,1,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
97,0,97,0,279.6475682000164,280.6309999998193,280.6447616999503,up,1,0.47466850001364946,0,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
98,0,98,0,281.13099689991213,282.12848309986293,282.12848309986293,up,0,0.5549293998628855,1,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
99,0,99,0,282.7141277999617,283.69772629998624,283.71163719985634,up,1,0.883454600116238,0,987805,001,2022-09-15_09h53.32.879,Tutorial 2 Jemima R,2022.2.4,60.2385325763776,
